id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
1059,0.626083,0.172382,8.05648,-0.163249,0.105175,-0.0204257,-0.0615824,-0.0861158,-0.0336935
1060,0.363919,0.432153,7.80988,-0.102895,0.077796,-0.0245559,-0.0645145,-0.0835588,-0.034311
1061,0.253785,0.633266,7.74285,-0.0908376,0.0179753,-0.0402105,-0.0673486,-0.0822919,-0.0352397
1062,0.356736,0.496797,8.01339,-0.0338147,-0.0206618,-0.0328162,-0.0690498,-0.0825114,-0.0362238
1063,0.292092,0.84635,8.10796,-0.0112986,-0.0577001,-0.033549,-0.0693301,-0.0835942,-0.0369976
1064,0.519542,0.982819,8.08761,-0.016095,-0.082148,-0.0444073,-0.0699829,-0.0856951,-0.03809
1065,0.593762,0.737414,8.42998,0.0214096,-0.0417123,-0.0146301,-0.0697471,-0.0874795,-0.0389235
1066,0.529118,0.871489,8.82263,0.000558943,0.0250365,0.0281371,-0.0692438,-0.0874978,-0.0385824
1067,0.347159,1.12168,8.20971,0.0438591,0.0406912,0.0372634,-0.0689265,-0.0863528,-0.0375333
1068,0.420182,1.31442,8.22408,0.0958192,0.0362946,0.0457902,-0.066505,-0.0853877,-0.0364681
1069,0.47046,1.07978,8.51378,0.059647,0.0558129,0.0713706,-0.0645418,-0.0840743,-0.0347709
1070,0.55306,0.864306,8.53532,0.0870926,0.0790617,0.0963514,-0.0627439,-0.0821393,-0.0323404
1071,0.671573,0.908599,8.76278,0.152842,0.104442,0.10308,-0.0591669,-0.0795445,-0.0296853
1072,0.691924,1.18154,8.80587,0.125063,0.1161,0.100548,-0.0551164,-0.0763218,-0.0267919
1073,0.392649,1.07859,9.01416,0.0932212,0.10351,0.0872917,-0.0523014,-0.0731476,-0.0242102
1074,0.262165,1.00796,9.30147,0.0927549,0.0670709,0.0573813,-0.0498422,-0.0709895,-0.022301
1075,-0.0167594,0.811634,9.96107,0.0652427,0.0562792,0.0512527,-0.0475214,-0.0695036,-0.0208842
1076,-0.296881,0.849941,10.0066,-0.0265536,0.0745985,0.0373966,-0.0470877,-0.0676152,-0.0196667
1077,-0.0945709,0.153229,10.0688,-0.125011,0.0681368,0.0278706,-0.0498122,-0.0657531,-0.01885
1078,0.0730231,-0.351948,9.47265,-0.0691876,0.0705349,0.0515191,-0.0526761,-0.0638323,-0.0177783
1079,0.14844,0.166397,8.40364,-0.0334816,0.043156,0.0783652,-0.0537037,-0.0620764,-0.01579
1080,-0.0802057,0.474052,7.49624,-0.00223891,-0.0296549,0.0817626,-0.054296,-0.0619473,-0.0135573
1081,-0.271742,0.234632,8.26598,0.0727036,-0.0970699,0.0811631,-0.053041,-0.0640377,-0.0113713
1082,-0.179565,0.300472,9.13507,0.0616455,-0.11872,0.0776325,-0.0508343,-0.0672106,-0.00905458
1083,-0.225055,0.456095,9.45589,-0.0408094,-0.100467,0.0677067,-0.0506395,-0.0703667,-0.00696741
1084,-0.213084,0.253785,9.27872,-0.123146,-0.0505722,0.0597129,-0.0532926,-0.0723751,-0.00519003
1085,-0.140061,0.427365,8.6287,-0.16145,-0.0424451,0.0357312,-0.0574468,-0.0735165,-0.00387745
1086,-0.0849941,0.493205,8.37132,-0.139867,-0.0353172,0.00548777,-0.0614573,-0.0745861,-0.00343288
1087,0.0658405,0.241814,8.21331,-0.104294,-0.013867,-0.00530396,-0.0648475,-0.0752657,-0.00359827
1088,0.325611,0.296881,8.17021,-0.0352802,0.0170426,0.00035837,-0.0665361,-0.0752768,-0.00375933
1089,0.208295,0.399832,8.28274,0.031735,0.0507502,0.00515469,-0.0664795,-0.0742594,-0.00358393
1090,0.113725,0.403423,8.2145,0.0830957,0.0631406,0.000758063,-0.0646462,-0.0725352,-0.00356829
1091,0.0694318,0.709881,8.00142,0.0782327,0.0349622,-0.00850151,-0.0623038,-0.071123,-0.00371677
1092,-0.189142,0.888248,7.9691,0.0597802,-0.00873759,-0.042209,-0.0605671,-0.0708879,-0.00443493
1093,-0.143652,0.906205,8.29111,0.0489885,-0.0514382,-0.0653912,-0.0590329,-0.0718461,-0.00609319
1094,-0.122104,0.796072,8.53413,0.00995174,-0.0736212,-0.0738514,-0.0581424,-0.0735773,-0.008063
1095,-0.17358,0.845153,8.62989,-0.0561309,-0.0912743,-0.0832442,-0.0588813,-0.0756561,-0.0101304
1096,0.0131681,0.688333,8.85016,-0.0835099,-0.0861449,-0.0818453,-0.0611798,-0.0781534,-0.0125055
1097,0.047884,0.544681,9.00698,-0.0537994,-0.0577667,-0.0723858,-0.0631127,-0.0799994,-0.0145733
1098,-0.0311246,0.587776,9.05247,-0.0411424,-0.0291886,-0.0679226,-0.0644024,-0.0810258,-0.0164074
1099,0.0083797,0.715866,8.80108,0.0411945,0.00858247,-0.0695214,-0.0645117,-0.0811642,-0.0182804
1100,0.125696,0.633266,9.07642,0.125397,0.0275679,-0.0721194,-0.0618333,-0.0806865,-0.0203033
1101,0.29329,0.730231,9.03452,0.190813,0.0341629,-0.0718529,-0.0573512,-0.0798996,-0.022365
1102,0.317232,0.887051,9.73003,0.188348,0.0698022,-0.0597289,-0.0515446,-0.0784237,-0.0241783
1103,0.0825999,0.766144,10.07,0.0755681,0.0789951,-0.0791807,-0.0481678,-0.0763142,-0.0260248
1104,0.147243,0.204704,10.5046,-0.0081677,0.110171,-0.0964341,-0.0477906,-0.0739369,-0.0285927
1105,0.403423,0.104148,9.82221,-0.0476041,0.190576,-0.0550658,-0.0487861,-0.0696132,-0.0306478
1106,0.337582,0.37589,8.85854,-0.0841761,0.236008,-0.00230626,-0.0506947,-0.063484,-0.0312523
1107,-0.270545,0.278924,8.2588,-0.0295513,0.183648,0.00455515,-0.053175,-0.0560664,-0.0308577
1108,-0.339977,0.244209,8.09838,0.0583147,0.112436,-0.0204257,-0.0523083,-0.0521103,-0.0311425
1109,-0.126893,0.537498,7.70334,0.0378637,0.0118466,-0.0526676,-0.0506974,-0.0504267,-0.0321177
1110,0.149638,0.162806,7.97389,-0.00736831,-0.08821,-0.0816454,-0.0506372,-0.0518103,-0.0340334
1111,0.438139,-0.0011971,8.48864,0.00888589,-0.131976,-0.0879739,-0.0506346,-0.0550861,-0.0364554
1112,0.738611,-0.0502782,8.80108,-0.0242221,-0.123383,-0.0673897,-0.0505727,-0.0587122,-0.0386071
1113,0.840364,0.11133,8.45631,-0.0980322,-0.0812154,-0.0271539,-0.0526045,-0.0613525,-0.0396362
1114,0.551863,0.299275,8.15704,-0.0914372,-0.0889428,-0.0244892,-0.0553826,-0.0634822,-0.0403372
1115,0.585382,0.256179,8.36055,-0.0444066,-0.101733,-0.0206255,-0.0569598,-0.0661854,-0.0410212
1116,0.616507,0.338779,8.51497,-0.0494694,-0.0764856,0.004755,-0.0581385,-0.0686958,-0.0412277
1117,0.459687,0.378284,8.34738,-0.0321493,-0.05337,0.0242068,-0.0594628,-0.0704074,-0.0408033
1118,0.447716,0.301669,8.36055,0.0140819,-0.0427781,0.0476554,-0.0593525,-0.0715363,-0.0397315
1119,0.454898,0.465672,8.42759,0.0175459,-0.0321197,0.0741018,-0.0588006,-0.0724876,-0.0380882
1120,0.278924,0.581791,8.31266,0.0280712,-0.0314535,0.100681,-0.0583735,-0.073337,-0.0355828
1121,0.280121,0.749385,8.27795,0.0474563,-0.0425783,0.120466,-0.0571209,-0.0742974,-0.0324481
1122,0.405817,0.703895,8.5054,0.0451914,-0.0364497,0.138452,-0.0559305,-0.0754981,-0.0289807
1123,0.530315,0.788889,8.55209,0.080964,-0.00953698,0.155839,-0.0540766,-0.076146,-0.0247231
1124,0.506373,0.916979,8.59877,0.0834287,0.0195074,0.152841,-0.0517181,-0.0759612,-0.0205387
1125,0.416591,0.894234,8.63588,0.074369,0.0265021,0.143782,-0.0497342,-0.075205,-0.0165358
1126,0.525527,0.702698,8.74003,0.11607,0.0416238,0.149511,-0.0469775,-0.0742898,-0.0123596
1127,0.530315,0.823605,8.86692,0.127328,0.0615419,0.159903,-0.0434455,-0.0727662,-0.00818239
1128,0.248997,0.820014,9.19133,0.105012,0.0643397,0.162234,-0.0405478,-0.0709963,-0.00378235
1129,0.00359131,0.811634,9.64264,0.136521,0.0941169,0.160835,-0.03699,-0.0686936,0.000753334
1130,-0.259771,0.59017,10.6195,0.0389295,0.106308,0.148911,-0.0342551,-0.0659291,0.0049616
1131,-0.270545,0.198719,9.98382,-0.0879065,0.0508834,0.108342,-0.035719,-0.0635464,0.0085098
1132,0.0083797,-0.125696,8.91122,-0.0152289,-0.0244589,0.0696386,-0.0374352,-0.063709,0.0105372
1133,0.199916,0.00239421,8.73045,0.0353323,-0.00713881,0.0964847,-0.0364281,-0.0642664,0.0127196
1134,-0.0873883,-0.0323217,8.69933,0.0349992,0.0121797,0.11154,-0.0361812,-0.0640726,0.0156928
1135,-0.0993593,0.0742202,8.57363,0.177024,-0.00114341,0.0961516,-0.0328052,-0.0638523,0.0187649
1136,-0.181959,0.1652,9.19254,0.191013,0.00218737,0.0729027,-0.0269962,-0.0639353,0.0208359
1137,-0.186748,-0.035913,9.34576,0.0342664,0.031365,0.0784318,-0.0242189,-0.0633443,0.0228637
1138,-0.305261,-0.36751,9.12789,-0.0398101,0.0542141,0.089157,-0.0248844,-0.0620027,0.0253055
1139,-0.296881,-0.195127,8.65623,-0.0644579,0.0362945,0.0766998,-0.0261094,-0.0605905,0.0276209
1140,-0.158017,-0.0143652,8.15944,-0.136003,-0.00587312,0.0557159,-0.02905,-0.060254,0.0293759
1141,-0.0778115,-0.190339,8.01458,-0.140266,-0.0253915,0.0355314,-0.0331998,-0.0609448,0.0305822
1142,0.0550666,-0.258574,8.07205,-0.102429,-0.0203953,0.0218086,-0.0365184,-0.0616316,0.0313844
1143,0.132878,-0.124498,8.22528,-0.0667894,-0.0147996,-0.0124984,-0.0385742,-0.061979,0.0314448
1144,0.227449,-0.126893,8.05648,-0.0572634,-0.0211281,-0.0363468,-0.0402755,-0.0625938,0.0305982
1145,0.366313,-0.241814,8.28393,-0.0662565,-0.0181304,-0.0272205,-0.0418113,-0.0629958,0.0297451
1146,0.135272,-0.071826,8.23725,-0.0643246,-0.0449098,-0.0463392,-0.0437956,-0.0638657,0.0288464
1147,-0.0526724,-0.00957681,8.70412,-0.0583292,-0.0554351,-0.070454,-0.0453835,-0.0653682,0.0270747
1148,0.00718261,0.124498,8.8358,-0.0817113,-0.0307207,-0.0884402,-0.047259,-0.0665564,0.0249296
1149,0.0646434,0.260968,8.57243,-0.0695207,-0.0491066,-0.128276,-0.0494343,-0.0676018,0.0218865
1150,0.143652,0.295684,8.76158,-0.0628591,-0.0756862,-0.166714,-0.0510852,-0.0694243,0.017734
1151,0.326808,0.500388,9.05367,-0.077781,-0.0763524,-0.201287,-0.053019,-0.0715086,0.0128067
1152,0.392649,0.620098,9.08599,-0.0779142,-0.0672927,-0.243788,-0.0552919,-0.0735685,0.00646292
1153,0.604536,0.75537,9.08599,-0.0619931,-0.0329857,-0.29768,-0.0571735,-0.0748458,-0.000975315
1154,0.841562,0.659602,8.94593,-0.0228898,0.00178768,-0.358433,-0.0582582,-0.0750168,-0.00983985
1155,0.894234,0.889445,8.96149,-0.00463708,0.00451892,-0.447032,-0.058377,-0.0749704,-0.0213072
1156,0.925359,0.830788,9.03571,0.00368987,0.00745001,-0.546755,-0.0586636,-0.0747804,-0.0353798
1157,0.927753,0.785298,9.05965,0.031402,0.00878231,-0.647078,-0.0580411,-0.0746621,-0.0517096
1158,1.05105,0.934935,8.9184,0.0447917,0.0199071,-0.745536,-0.0570214,-0.0742443,-0.0714538
1159,1.04866,0.999579,8.68137,0.0546508,0.0123796,-0.854453,-0.0555632,-0.0736084,-0.0933223
1160,0.869095,1.07739,8.57363,0.0739027,-0.0212613,-0.957907,-0.0536965,-0.0737114,-0.118007
1161,0.87508,1.08816,8.69933,0.070039,-0.0667598,-1.0583,-0.0516567,-0.0749966,-0.146479
1162,0.848744,1.09654,8.42759,0.0383966,-0.135307,-1.15775,-0.0502078,-0.0778427,-0.176585
1163,0.942118,0.960074,8.7125,0.0329341,-0.198326,-1.27053,-0.0493696,-0.0826521,-0.209635
1164,1.08577,0.902614,8.57243,0.0610459,-0.212115,-1.37179,-0.0480252,-0.0885834,-0.24687
1165,1.10492,1.02591,8.67539,0.0273384,-0.238961,-1.47191,-0.0466677,-0.0948505,-0.286949
1166,1.06302,0.779312,8.79749,0.0412611,-0.264075,-1.57597,-0.0461459,-0.101807,-0.328391
1167,1.28928,0.520739,9.2057,0.0984173,-0.224505,-1.63499,-0.0437694,-0.108821,-0.373651
1168,1.33477,0.331597,9.24999,0.057915,-0.151761,-1.66456,-0.0416966,-0.113566,-0.418152
