id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z
147,-0.116119,-0.147243,8.51498,0.0349797,-0.033773,-0.151344,0.0653728,0.190565,-0.314894
148,-0.150835,-0.0658405,8.13908,-0.0185126,-0.0475624,-0.18272,0.0654795,0.189621,-0.319223
149,-0.229843,-0.189142,8.18577,-0.0556841,-0.0854,-0.208833,0.0640662,0.187661,-0.324579
150,-0.102951,-0.213084,8.31865,-0.0393633,-0.0691459,-0.232149,0.0629118,0.185548,-0.330941
151,0.0442927,-0.0323217,8.42519,-0.13922,-0.0407676,-0.219892,0.0604301,0.184361,-0.336491
152,-0.102951,-0.0203507,8.54131,-0.272651,-0.037237,-0.280845,0.0546076,0.18337,-0.343079
153,0.0035913,-0.100556,8.34139,-0.265923,-0.0440318,-0.309556,0.0468918,0.182527,-0.351176
154,-0.0179565,0.0610521,8.65623,-0.206169,-0.0393687,-0.35279,0.0409101,0.181258,-0.360238
155,0.0083797,-0.035913,9.02374,-0.220025,-0.00666043,-0.385898,0.0354775,0.180703,-0.370063
156,0.108936,-0.211887,8.74482,-0.262659,0.00353176,-0.398355,0.0285104,0.180622,-0.381092
157,-0.164003,-0.203507,8.80467,-0.215228,0.0188533,-0.456177,0.0219221,0.181163,-0.393034
158,-0.059855,0.135272,9.06804,-0.188915,0.010593,-0.500809,0.0164702,0.181532,-0.405647
159,0.0873883,-0.199916,9.06923,-0.161536,0.0417691,-0.479626,0.0121333,0.182061,-0.419228
160,-0.0383072,0.0011971,8.72566,-0.210699,0.0508954,-0.582347,0.00698774,0.183552,-0.433068
161,-0.234632,0.114922,9.00698,-0.187316,0.00266575,-0.675942,0.000761241,0.184297,-0.449741
162,-0.229843,0.906205,9.34337,-0.00485638,-0.0109238,-0.830157,-0.000690331,0.183711,-0.471519
163,0.270545,0.963666,9.32661,0.0278519,0.00519714,-0.857936,-0.000014368,0.183587,-0.494849
164,0.323217,0.918176,8.62271,-0.0214437,0.00346513,-0.916624,0.000279076,0.183716,-0.518973
165,0.262165,0.676362,8.70531,-0.0580156,0.0217844,-0.920221,-0.00169677,0.183486,-0.542192
166,-0.167594,0.562637,8.42639,-0.00439006,0.0678158,-1.04619,-0.00209004,0.185031,-0.569095
167,-0.116119,0.402226,8.77235,-0.0713387,0.0576902,-1.11447,-0.00309352,0.186672,-0.59894
168,-0.191536,0.535104,9.13866,-0.0520868,0.0561581,-1.13492,-0.00523448,0.188182,-0.628533
169,0.257377,0.661997,9.15303,0.0647569,0.0995914,-1.17682,-0.00453483,0.190514,-0.660413
170,0.228646,0.397437,9.27394,0.0454384,0.11438,-1.2024,-0.00281684,0.193597,-0.691808
171,0.141258,0.337582,8.70292,0.0694866,0.143824,-1.22445,-0.00148877,0.197243,-0.724937
172,0.43335,0.0933738,8.7113,0.0842087,0.118244,-1.27435,0.0012273,0.200835,-0.760296
173,0.471658,0.197522,8.76995,0.115451,0.0865348,-1.26003,0.00365556,0.203247,-0.794785
174,0.413,-0.250194,8.69454,0.193258,0.089799,-1.26196,0.00824187,0.205594,-0.82818
175,0.445321,-0.179565,8.40484,0.154355,0.0582231,-1.23585,0.0132913,0.20774,-0.862244
176,0.544681,-0.216675,8.63947,0.0732171,0.0366397,-1.23038,0.0160893,0.208771,-0.895882
177,0.620098,-0.23104,8.74242,0.0807447,0.049763,-1.24191,0.0178565,0.209917,-0.928448
178,0.621295,-0.253785,8.77834,0.120781,0.0656175,-1.2503,0.0208166,0.211562,-0.962607
179,0.47046,-0.355539,9.07881,0.0528327,0.0683487,-1.24357,0.0237622,0.213792,-0.996809
180,0.484826,-0.226252,8.90643,-0.0113847,0.0628196,-1.2583,0.0238045,0.215116,-1.02942
181,0.499191,-0.571017,8.7089,0.0203909,0.0980593,-1.26003,0.0237594,0.217771,-1.06505
182,0.59017,-0.464475,8.95192,0.0688205,0.094129,-1.26402,0.0248451,0.220089,-1.09832
183,0.702698,-1.04148,9.02135,0.0419744,0.102856,-1.19161,0.0268055,0.222461,-1.13153
184,0.514753,-0.51595,8.74482,-0.0023916,0.0969268,-1.23385,0.0275018,0.225324,-1.16622
185,0.906205,-0.312443,8.6275,0.00873321,0.0842032,-1.24963,0.0274072,0.227604,-1.19889
186,0.786495,-0.586579,9.09078,-0.0223763,0.10572,-1.26249,0.027265,0.230293,-1.23215
187,0.666785,-0.547075,8.86932,-0.00272468,0.0689483,-1.2527,0.0270049,0.232804,-1.26772
188,0.754173,-1.18992,8.66222,-0.0571496,0.0787408,-1.16983,0.0267943,0.234853,-1.29995
189,0.401029,-1.09415,8.91481,-0.14848,0.0718127,-1.20167,0.0239455,0.236908,-1.33194
190,0.496797,-0.518344,8.82502,-0.0384306,0.0338418,-1.22605,0.0216869,0.238268,-1.36609
191,0.447716,-0.342371,8.82263,-0.0490892,0.0419689,-1.19861,0.0215341,0.239434,-1.39894
192,0.436942,-0.512359,9.01536,-0.0976519,0.0642185,-1.18335,0.0191104,0.240815,-1.43023
193,0.19393,-0.45011,9.07402,-0.0771343,0.0672162,-1.1637,0.0163364,0.242765,-1.46228
194,0.12809,-0.391452,9.3314,-0.0208441,0.0586228,-1.1649,0.0149103,0.244352,-1.49458
195,0.311246,-0.104148,9.05247,0.0257202,0.0400371,-1.11147,0.0154392,0.24552,-1.52451
196,0.411803,-0.149638,9.02254,-0.0462913,0.0782745,-1.09848,0.0152663,0.247116,-1.55466
197,0.124498,-0.530315,9.02733,-0.0422277,0.120242,-1.06678,0.0133994,0.250231,-1.58424
198,0.124498,-0.436942,8.65503,0.0326482,0.113114,-1.02294,0.0135647,0.253248,-1.61196
199,-0.112527,-0.536301,8.91481,0.0358458,0.0865348,-0.954329,0.0150184,0.255888,-1.63907
200,-0.410605,-0.922964,8.59997,0.0225226,0.0971933,-0.85214,0.0155341,0.258489,-1.66292
201,-0.316035,-1.10133,8.4216,0.0966658,0.056691,-0.752283,0.0173467,0.260764,-1.68454
202,0.0706289,-0.881066,8.7915,0.142164,0.0656841,-0.75648,0.0212093,0.262162,-1.70417
203,0.222661,-0.900219,8.58081,0.113986,0.0741443,-0.666749,0.0247232,0.264222,-1.72355
204,0.183156,-1.08338,8.339,0.0748825,0.0770754,-0.603664,0.0272171,0.266371,-1.7405
205,0.308852,-1.25576,8.04571,0.0309828,0.0922637,-0.587676,0.0285609,0.268544,-1.7569
206,0.227449,-1.16478,7.94396,-0.0190455,0.0538265,-0.534917,0.028654,0.270588,-1.77193
207,-0.0933738,-1.39941,8.00621,-0.0183127,0.0574904,-0.454445,0.0274957,0.272038,-1.78496
208,-0.131681,-1.33596,8.09,0.0297837,0.0582898,-0.433195,0.0275152,0.273418,-1.79697
209,-0.0275333,-1.50595,8.16662,0.0226559,0.0311106,-0.354721,0.0287904,0.274579,-1.80813
210,-0.240617,-1.32519,8.2576,-0.0053893,-0.0022638,-0.323612,0.0284919,0.274804,-1.81708
211,-0.152032,-1.31801,8.11754,0.0455716,-0.00566119,-0.274916,0.0289593,0.274773,-1.82479
212,0.0203507,-1.49638,8.12113,0.0610931,-0.0379698,-0.229884,0.0306498,0.27398,-1.83157
213,0.110133,-1.51912,8.24443,0.0522332,-0.0484284,-0.176525,0.0322803,0.272835,-1.83695
214,0.178368,-1.45927,8.37491,0.0159277,-0.0856665,-0.118503,0.0329865,0.271307,-1.84075
215,0.174777,-1.34794,8.66821,0.00353719,-0.113912,-0.0843954,0.0327882,0.268389,-1.84333
216,0.174777,-1.08816,8.80826,0.0461712,-0.101255,-0.0762683,0.0336991,0.265374,-1.84546
217,0.362721,-1.06662,9.1255,-0.0311696,-0.0840678,-0.0756021,0.0338134,0.262781,-1.84741
218,0.106542,-1.21506,9.38527,-0.141885,-0.0400348,-0.0606136,0.0308857,0.26108,-1.84935
219,0.0622492,-1.04387,9.40681,-0.11737,-0.0200502,-0.0656764,0.0263559,0.260249,-1.85092
220,0.138864,-0.835576,9.19134,-0.0179796,0.00259914,-0.0865937,0.0250919,0.260052,-1.85322
221,-0.0993593,-0.810437,9.25119,-0.0745363,-0.0130555,-0.0482897,0.0234746,0.260105,-1.85348
